"","y","count","x","xmin","xmax","density","ncount","ndensity","flipped_aes","PANEL","group","ymin","ymax","colour","fill","size","linetype","alpha"
"1",6181,6181,1990,1989.5,1990.5,0.0108866805927878,0.203986667106696,0.203986667106696,FALSE,"1",-1,0,6181,"gray40","orange",0.5,1,NA
"2",6510,6510,1991,1990.5,1991.5,0.011466152832721,0.214844394574436,0.214844394574436,FALSE,"1",-1,0,6510,"gray40","orange",0.5,1,NA
"3",6633,6633,1992,1991.5,1992.5,0.0116827944300212,0.218903666545659,0.218903666545659,FALSE,"1",-1,0,6633,"gray40","orange",0.5,1,NA
"4",7006,7006,1993,1992.5,1993.5,0.0123397644771188,0.231213491303917,0.231213491303917,FALSE,"1",-1,0,7006,"gray40","orange",0.5,1,NA
"5",10244,10244,1994,1993.5,1994.5,0.018042898558893,0.338074651001617,0.338074651001617,FALSE,"1",-1,0,10244,"gray40","orange",0.5,1,NA
"6",11226,11226,1995,1994.5,1995.5,0.0197725087096967,0.370482822349097,0.370482822349097,FALSE,"1",-1,0,11226,"gray40","orange",0.5,1,NA
"7",11156,11156,1996,1995.5,1996.5,0.0196492167437535,0.368172667568727,0.368172667568727,FALSE,"1",-1,0,11156,"gray40","orange",0.5,1,NA
"8",12758,12758,1997,1996.5,1997.5,0.0224708414500544,0.421042209828058,0.421042209828059,FALSE,"1",-1,0,12758,"gray40","orange",0.5,1,NA
"9",13895,13895,1998,1997.5,1998.5,0.0244734552397324,0.458565723903502,0.458565723903501,FALSE,"1",-1,0,13895,"gray40","orange",0.5,1,NA
"10",15287,15287,1999,1998.5,1999.5,0.0269252040482036,0.504504801821722,0.504504801821722,FALSE,"1",-1,0,15287,"gray40","orange",0.5,1,NA
"11",15508,15508,2000,1999.5,2000.5,0.0273144543978244,0.511798290485463,0.511798290485463,FALSE,"1",-1,0,15508,"gray40","orange",0.5,1,NA
"12",15516,15516,2001,2000.5,2001.5,0.0273285449082179,0.512062308174648,0.512062308174648,FALSE,"1",-1,0,15516,"gray40","orange",0.5,1,NA
"13",16031,16031,2002,2001.5,2002.5,0.0282356215148003,0.529058446915943,0.529058446915943,FALSE,"1",-1,0,16031,"gray40","orange",0.5,1,NA
"14",18557,18557,2003,2002.5,2003.5,0.032684700171552,0.612422032276163,0.612422032276163,FALSE,"1",-1,0,18557,"gray40","orange",0.5,1,NA
"15",20573,20573,2004,2003.5,2004.5,0.0362355087907172,0.678954489950827,0.678954489950827,FALSE,"1",-1,0,20573,"gray40","orange",0.5,1,NA
"16",21927,21927,2005,2004.5,2005.5,0.0386203276748192,0.723639483845418,0.723639483845418,FALSE,"1",-1,0,21927,"gray40","orange",0.5,1,NA
"17",20690,20690,2006,2005.5,2006.5,0.0364415825052223,0.68281574865516,0.68281574865516,FALSE,"1",-1,0,20690,"gray40","orange",0.5,1,NA
"18",21321,21321,2007,2006.5,2007.5,0.0375529715125106,0.703640143889641,0.703640143889641,FALSE,"1",-1,0,21321,"gray40","orange",0.5,1,NA
"19",20998,20998,2008,2007.5,2008.5,0.0369840671553725,0.692980429688789,0.692980429688789,FALSE,"1",-1,0,20998,"gray40","orange",0.5,1,NA
"20",21574,21574,2009,2008.5,2009.5,0.0379985839037055,0.711989703310122,0.711989703310122,FALSE,"1",-1,0,21574,"gray40","orange",0.5,1,NA
"21",22285,22285,2010,2009.5,2010.5,0.0392508780149289,0.735454275436454,0.735454275436454,FALSE,"1",-1,0,22285,"gray40","orange",0.5,1,NA
"22",24646,24646,2011,2010.5,2011.5,0.0434093398948143,0.813372495957229,0.813372495957229,FALSE,"1",-1,0,24646,"gray40","orange",0.5,1,NA
"23",27189,27189,2012,2011.5,2012.5,0.0478883608861522,0.897297118906967,0.897297118906967,FALSE,"1",-1,0,27189,"gray40","orange",0.5,1,NA
"24",30301,30301,2013,2012.5,2013.5,0.0533695694292287,1,1,FALSE,"1",-1,0,30301,"gray40","orange",0.5,1,NA
"25",29898,29898,2014,2013.5,2014.5,0.0526597599681554,0.986700108907297,0.986700108907297,FALSE,"1",-1,0,29898,"gray40","orange",0.5,1,NA
"26",29189,29189,2015,2014.5,2015.5,0.0514109884845304,0.963301541203261,0.963301541203261,FALSE,"1",-1,0,29189,"gray40","orange",0.5,1,NA
"27",27428,27428,2016,2015.5,2016.5,0.0483093148841584,0.905184647371374,0.905184647371374,FALSE,"1",-1,0,27428,"gray40","orange",0.5,1,NA
"28",27344,27344,2017,2016.5,2017.5,0.0481613645250265,0.902412461634929,0.902412461634929,FALSE,"1",-1,0,27344,"gray40","orange",0.5,1,NA
"29",27350,27350,2018,2017.5,2018.5,0.0481719324078216,0.902610474901818,0.902610474901818,FALSE,"1",-1,0,27350,"gray40","orange",0.5,1,NA
"30",25069,25069,2019,2018.5,2019.5,0.0441543756318713,0.827332431272895,0.827332431272895,FALSE,"1",-1,0,25069,"gray40","orange",0.5,1,NA
"31",3468,3468,2020,2019.5,2020.5,0.00610823625558777,0.114451668261774,0.114451668261774,FALSE,"1",-1,0,3468,"gray40","orange",0.5,1,NA
