"","fill","y","ymin","ymax","x","PANEL","group","flipped_aes","xmin","xmax","colour","size","linetype","alpha"
"1","#999999",9.67741935483871,0,9.67741935483871,1,"1",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"2","#E69F00",83.8709677419355,0,83.8709677419355,2,"1",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"3","#56B4E9",6.45161290322581,0,6.45161290322581,3,"1",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"4","#999999",34.0659340659341,0,34.0659340659341,1,"2",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"5","#E69F00",57.1428571428571,0,57.1428571428571,2,"2",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"6","#56B4E9",8.79120879120879,0,8.79120879120879,3,"2",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"7","#999999",5.40540540540541,0,5.40540540540541,1,"3",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"8","#E69F00",89.1891891891892,0,89.1891891891892,2,"3",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"9","#56B4E9",5.40540540540541,0,5.40540540540541,3,"3",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"10","#999999",24.2424242424242,0,24.2424242424242,1,"4",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"11","#E69F00",60.6060606060606,0,60.6060606060606,2,"4",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"12","#56B4E9",15.1515151515152,0,15.1515151515152,3,"4",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"13","#999999",11.5942028985507,0,11.5942028985507,1,"5",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"14","#E69F00",43.4782608695652,0,43.4782608695652,2,"5",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"15","#56B4E9",44.9275362318841,0,44.9275362318841,3,"5",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"16","#999999",8.86075949367089,0,8.86075949367089,1,"6",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"17","#E69F00",46.8354430379747,0,46.8354430379747,2,"6",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"18","#56B4E9",44.3037974683544,0,44.3037974683544,3,"6",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"19","#999999",3.7037037037037,0,3.7037037037037,1,"7",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"20","#E69F00",96.2962962962963,0,96.2962962962963,2,"7",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"21","#999999",3.33333333333333,0,3.33333333333333,1,"8",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"22","#E69F00",86.6666666666667,0,86.6666666666667,2,"8",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"23","#56B4E9",10,0,10,3,"8",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"24","#999999",1.47058823529412,0,1.47058823529412,1,"9",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"25","#E69F00",80.8823529411765,0,80.8823529411765,2,"9",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"26","#56B4E9",17.6470588235294,0,17.6470588235294,3,"9",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
"27","#999999",44.7368421052632,0,44.7368421052632,1,"10",1,FALSE,0.55,1.45,"gray40",0.5,1,NA
"28","#E69F00",50,0,50,2,"10",2,FALSE,1.55,2.45,"gray40",0.5,1,NA
"29","#56B4E9",5.26315789473684,0,5.26315789473684,3,"10",3,FALSE,2.55,3.45,"gray40",0.5,1,NA
