"","fill","y","ymin","ymax","x","PANEL","group","flipped_aes","xmin","xmax","colour","size","linetype","width","alpha"
"1","#999999",9.67741935483871,3.9957314928153,20.5398842661706,1,"1",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"2","#E69F00",83.8709677419355,71.8727679514923,91.5869179257813,2,"1",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"3","#56B4E9",6.45161290322581,2.086964183392,16.496556554015,3,"1",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"4","#999999",34.0659340659341,24.6604472177718,44.833394942021,1,"2",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"5","#E69F00",57.1428571428571,46.3478453583687,67.3286225582844,2,"2",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"6","#56B4E9",8.79120879120879,4.14591770261337,17.0712486550443,3,"2",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"7","#999999",5.40540540540541,0.941808842334889,19.5305539058993,1,"3",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"8","#E69F00",89.1891891891892,73.6417939581653,96.4791723235526,2,"3",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"9","#56B4E9",5.40540540540541,0.941808842334889,19.5305539058993,3,"3",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"10","#999999",24.2424242424242,11.7432892852437,42.6305618124556,1,"4",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"11","#E69F00",60.6060606060606,42.2384041365728,76.5720602410849,2,"4",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"12","#56B4E9",15.1515151515152,5.71587726818699,32.668294262033,3,"4",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"13","#999999",11.5942028985507,5.49337779853175,22.1106604047932,1,"5",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"14","#E69F00",43.4782608695652,31.7682816877269,55.9175789499813,2,"5",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"15","#56B4E9",44.9275362318841,33.0996646232251,57.322567549819,3,"5",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"16","#999999",8.86075949367089,3.9386079685502,17.9577398024202,1,"6",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"17","#E69F00",46.8354430379747,35.6412914067749,58.339568159886,2,"6",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"18","#56B4E9",44.3037974683544,33.2799636157766,55.8857119099073,3,"6",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"19","#999999",3.7037037037037,0.644107692892769,13.8398530692379,1,"7",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"20","#E69F00",96.2962962962963,86.1601469307621,99.3558923071072,2,"7",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"21","#999999",3.33333333333333,0.174246705238487,19.0530216347821,1,"8",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"22","#E69F00",86.6666666666667,68.3576170033042,95.6402916348662,2,"8",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"23","#56B4E9",10,2.6188292276544,27.6763184448704,3,"8",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"24","#999999",1.47058823529412,0.0768127672296204,9.01192479606744,1,"9",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"25","#E69F00",80.8823529411765,69.1713097043319,89.0419753078848,2,"9",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"26","#56B4E9",17.6470588235294,9.8341972298696,29.1879568819481,3,"9",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"27","#999999",44.7368421052632,28.9945713731054,61.5221715154331,1,"10",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"28","#E69F00",50,34.8499283643951,65.1500716356049,2,"10",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"29","#56B4E9",5.26315789473684,0.916880660840129,19.0695154912588,3,"10",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"30","#999999",5.55555555555556,0.968130458439373,20.0143968492598,1,"11",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"31","#E69F00",86.1111111111111,69.7120487024984,94.7715026838097,2,"11",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"32","#56B4E9",8.33333333333333,2.1772072797079,23.5911636953467,3,"11",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"33","#999999",34.4262295081967,23.0395089477929,47.7809217795006,1,"12",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"34","#E69F00",19.672131147541,11.0004291355235,32.2189694736038,2,"12",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"35","#56B4E9",45.9016393442623,33.2588091238345,59.0609453894619,3,"12",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"36","#999999",2.04081632653061,0.106623101524159,12.2370150149563,1,"13",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"37","#E69F00",97.9591836734694,87.7629849850437,99.8933768984759,2,"13",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"38","#999999",6.66666666666667,2.73904692304525,14.4956639112936,1,"14",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"39","#E69F00",64.4444444444444,53.5855668000958,74.0557942801113,2,"14",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"40","#56B4E9",28.8888888888889,20.0601014789776,39.5460579525384,3,"14",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"41","#E69F00",97.6744186046512,86.2041579742542,99.8784845682876,2,"15",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"42","#56B4E9",2.32558139534884,0.121515431712356,13.7958420257458,3,"15",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"43","#999999",2.04081632653061,0.106623101524159,12.2370150149563,1,"16",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"44","#E69F00",85.7142857142857,72.1416507355327,93.591758999182,2,"16",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"45","#56B4E9",12.2448979591837,5.07752601650198,25.4634355133409,3,"16",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"46","#999999",39.5348837209302,25.3669896454638,55.549911195585,1,"17",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"47","#E69F00",48.8372093023256,33.5606870996393,64.3186768964342,2,"17",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"48","#56B4E9",11.6279069767442,4.36098633368313,25.8817031570097,3,"17",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"49","#999999",11.5384615384615,5.73677063695219,21.2592507093271,1,"18",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"50","#E69F00",78.2051282051282,67.1403509640504,86.4432005246536,2,"18",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"51","#56B4E9",10.2564102564103,4.84866713044349,19.7288785841297,3,"18",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"52","#999999",62.7118644067797,49.1081576487242,74.6582110723557,1,"19",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"53","#E69F00",35.5932203389831,23.8685601207624,49.1973126459635,2,"19",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"54","#56B4E9",1.69491525423729,0.0885383932777556,10.297535838947,3,"19",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"55","#999999",5.55555555555556,0.968130458439373,20.0143968492598,1,"20",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"56","#E69F00",83.3333333333333,66.5297762882625,93.0366576451083,2,"20",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"57","#56B4E9",11.1111111111111,3.62033694142958,27.0028998283945,3,"20",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"58","#999999",47.3684210526316,31.307906391611,63.9503196236937,1,"21",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"59","#E69F00",44.7368421052632,28.9945713731054,61.5221715154331,2,"21",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"60","#56B4E9",7.89473684210526,2.06134148622613,22.4841610419916,3,"21",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
