"","pmid","year","labels","phrase","highest_pvalue","group"
"3",10922086,2000,1999,"""a numerical trend""",0.84,">=0.15"
"4",14994963,2004,2002,"""a numerical trend""",0.061,">=0.05-0.15"
"8",19228659,2009,2008,"""a numerical trend""",0.1487,">=0.15"
"10",20015921,2010,2008,"""a numerical trend""",0.4,">=0.15"
"13",22241513,2012,2011,"""a numerical trend""",0.056,">=0.05-0.15"
"14",22554598,2012,2011,"""a numerical trend""",0.171,">=0.15"
"17",23094932,2012,2011,"""a numerical trend""",0.14,">=0.15"
"19",23506005,2013,2011,"""a numerical trend""",0.083,">=0.05-0.15"
"22",24095220,2013,2011,"""a numerical trend""",0.0622,">=0.05-0.15"
"27",24723284,2014,2014,"""a numerical trend""",0.08,">=0.05-0.15"
"29",25190434,2014,2014,"""a numerical trend""",0.1631,">=0.15"
"30",25592314,2015,2014,"""a numerical trend""",0.3,">=0.15"
"31",25888851,2015,2014,"""a numerical trend""",0.12,">=0.15"
"32",25888851,2015,2014,"""a numerical trend""",0.081,">=0.05-0.15"
"34",26121349,2015,2014,"""a numerical trend""",0.056,">=0.05-0.15"
"36",26422097,2015,2014,"""a numerical trend""",0.056,">=0.05-0.15"
"39",27809891,2016,2014,"""a numerical trend""",0.076,">=0.05-0.15"
"40",28277060,2017,2017,"""a numerical trend""",0.211,">=0.15"
"41",28605109,2017,2017,"""a numerical trend""",0.25,">=0.15"
"42",28728606,2017,2017,"""a numerical trend""",0.083,">=0.05-0.15"
"53",1589234,1992,1990,"""a positive trend""",0.06,">=0.05-0.15"
"54",2059396,1991,1990,"""a positive trend""",0.058,">=0.05-0.15"
"57",2293357,1990,1990,"""a positive trend""",0.08,">=0.05-0.15"
"58",2403903,1990,1990,"""a positive trend""",0.1,">=0.15"
"60",7535844,1995,1993,"""a positive trend""",0.095,">=0.05-0.15"
"63",7819596,1994,1993,"""a positive trend""",0.095,">=0.05-0.15"
"64",7819596,1994,1993,"""a positive trend""",0.095,">=0.05-0.15"
"65",7847430,1995,1993,"""a positive trend""",0.06,">=0.05-0.15"
"66",7870912,1993,1993,"""a positive trend""",0.06,">=0.05-0.15"
"67",7870912,1993,1993,"""a positive trend""",0.06,">=0.05-0.15"
"69",7923821,1994,1993,"""a positive trend""",0.001,"<0.05"
"72",8299431,1993,1993,"""a positive trend""",0.08,">=0.05-0.15"
"73",8610977,1996,1996,"""a positive trend""",0.06,">=0.05-0.15"
"74",8719029,1996,1996,"""a positive trend""",0.09,">=0.05-0.15"
"76",8836901,1996,1996,"""a positive trend""",0.07,">=0.05-0.15"
"79",9186302,1997,1996,"""a positive trend""",0.06,">=0.05-0.15"
"80",9223838,1997,1996,"""a positive trend""",0.05,">=0.05-0.15"
"84",9566274,1998,1996,"""a positive trend""",0.06,">=0.05-0.15"
"85",9704732,1998,1996,"""a positive trend""",0.08,">=0.05-0.15"
"86",9704732,1998,1996,"""a positive trend""",0.08,">=0.05-0.15"
"87",9743817,1998,1996,"""a positive trend""",0.01,"<0.05"
"88",9783557,1998,1996,"""a positive trend""",0.09,">=0.05-0.15"
"89",9863541,1998,1996,"""a positive trend""",0.06,">=0.05-0.15"
"90",9931217,1999,1999,"""a positive trend""",0.21,">=0.15"
"91",9989597,1999,1999,"""a positive trend""",0.016,"<0.05"
"92",10192437,1999,1999,"""a positive trend""",0.055,">=0.05-0.15"
"93",10233322,1999,1999,"""a positive trend""",0.9471,">=0.15"
"96",10695846,2000,1999,"""a positive trend""",0.42,">=0.15"
"97",10707752,2000,1999,"""a positive trend""",0.088,">=0.05-0.15"
"98",10707752,2000,1999,"""a positive trend""",0.088,">=0.05-0.15"
