"","labels","phrase","K","N","prev"
"1",1990,"a clear trend",44,19324,0.227696129165804
"2",1990,"a decreasing trend",7,19324,0.0362243841854688
"3",1990,"a definite trend",10,19324,0.0517491202649555
"4",1990,"a favorable trend",15,19324,0.0776236803974332
"5",1990,"a marginal trend",2,19324,0.0103498240529911
"6",1990,"a marked trend",1,19324,0.00517491202649555
"7",1990,"a near-significant trend",2,19324,0.0103498240529911
"8",1990,"a negative trend",6,19324,0.0310494721589733
"9",1990,"a nonsignificant trend",78,19324,0.403643138066653
"10",1990,"a notable trend",3,19324,0.0155247360794866
"11",1990,"a numerical trend",1,19324,0.00517491202649555
"12",1990,"a positive trend",19,19324,0.0983233285034154
"13",1990,"a significant trend",32,19324,0.165597184847858
"14",1990,"a slight trend",40,19324,0.206996481059822
"15",1990,"a small trend",8,19324,0.0413992962119644
"16",1990,"a statistical trend",4,19324,0.0206996481059822
"17",1990,"a strong trend",37,19324,0.191471744980335
"18",1990,"a suggestive trend",3,19324,0.0155247360794866
"19",1990,"a trend close to significance",2,19324,0.0103498240529911
"20",1990,"a weak trend",8,19324,0.0413992962119644
"21",1990,"all but significant",336,19324,1.7387704409025
"22",1990,"almost insignificant",2,19324,0.0103498240529911
"23",1990,"almost reached statistical significance",4,19324,0.0206996481059822
"24",1990,"almost significant",31,19324,0.160422272821362
"25",1990,"almost statistically significant",10,19324,0.0517491202649555
"26",1990,"an adverse trend",1,19324,0.00517491202649555
"27",1990,"an apparent trend",7,19324,0.0362243841854688
"28",1990,"an encouraging trend",2,19324,0.0103498240529911
"29",1990,"an important trend",1,19324,0.00517491202649555
"30",1990,"an increasing trend",13,19324,0.0672738563444421
"31",1990,"an interesting trend",5,19324,0.0258745601324777
"32",1990,"an obvious trend",3,19324,0.0155247360794866
"33",1990,"an overall trend",15,19324,0.0776236803974332
"34",1990,"an unexpected trend",3,19324,0.0155247360794866
"35",1990,"an unexplained trend",1,19324,0.00517491202649555
"36",1990,"an unfavorable trend",1,19324,0.00517491202649555
"37",1990,"approaches statistical significance",5,19324,0.0258745601324777
"38",1990,"approaching conventional statistical significance",1,19324,0.00517491202649555
"39",1990,"approaching significance",18,19324,0.0931484164769199
"40",1990,"at the limit of significance",2,19324,0.0103498240529911
"41",1990,"at the verge of significance",1,19324,0.00517491202649555
"42",1990,"barely missed statistical significance",1,19324,0.00517491202649555
"43",1990,"barely significant",5,19324,0.0258745601324777
"44",1990,"bordered on significant",1,19324,0.00517491202649555
"45",1990,"close to being significant",2,19324,0.0103498240529911
"46",1990,"close to the level of significance",1,19324,0.00517491202649555
"47",1990,"did not quite achieve significance",1,19324,0.00517491202649555
"48",1990,"did not quite reach statistical significance",30,19324,0.155247360794866
"49",1990,"difference was apparent",22,19324,0.113848064582902
"50",1990,"failed to reach statistical significance",100,19324,0.517491202649555
"51",1990,"fairly significant",2,19324,0.0103498240529911
