"","labels","phrase","K"
"1",1990,"a clear trend",48
"2",1990,"a decreasing trend",8
"3",1990,"a definite trend",11
"4",1990,"a favorable trend",16
"5",1990,"a marginal trend",2
"6",1990,"a marked trend",1
"7",1990,"a near-significant trend",2
"8",1990,"a negative trend",6
"9",1990,"a nonsignificant trend",93
"10",1990,"a notable trend",3
"11",1990,"a numerical trend",1
"12",1990,"a positive trend",22
"13",1990,"a significant trend",35
"14",1990,"a slight trend",41
"15",1990,"a small trend",8
"16",1990,"a statistical trend",5
"17",1990,"a strong trend",44
"18",1990,"a suggestive trend",3
"19",1990,"a trend close to significance",2
"20",1990,"a weak trend",8
"21",1990,"all but significant",420
"22",1990,"almost insignificant",4
"23",1990,"almost reached statistical significance",4
"24",1990,"almost significant",37
"25",1990,"almost statistically significant",10
"26",1990,"an adverse trend",1
"27",1990,"an apparent trend",8
"28",1990,"an encouraging trend",2
"29",1990,"an important trend",1
"30",1990,"an increasing trend",14
"31",1990,"an interesting trend",5
"32",1990,"an obvious trend",3
"33",1990,"an overall trend",15
"34",1990,"an unexpected trend",3
"35",1990,"an unexplained trend",1
"36",1990,"an unfavorable trend",1
"37",1990,"approaches statistical significance",5
"38",1990,"approaching conventional statistical significance",1
"39",1990,"approaching significance",19
"40",1990,"at the limit of significance",2
"41",1990,"at the verge of significance",1
"42",1990,"barely missed statistical significance",1
"43",1990,"barely significant",5
"44",1990,"bordered on significant",1
"45",1990,"close to being significant",2
"46",1990,"close to the level of significance",1
"47",1990,"did not quite achieve significance",1
"48",1990,"did not quite reach statistical significance",33
"49",1990,"difference was apparent",31
"50",1990,"failed to reach statistical significance",126
"51",1990,"fairly significant",2
"52",1990,"fell just short of significance",2
"53",1990,"fell just short of statistical significance",5
"54",1990,"fell short of significance",2
"55",1990,"just failed to reach statistical significance",21
"56",1990,"just fails to reach conventional levels of statistical significance",1
"57",1990,"just missed being statistically significant",1
"58",1990,"just short of significance",3
"59",1990,"likely to be significant",13
"60",1990,"marginal significance",26
"61",1990,"marginally nonsignificant",1
"62",1990,"marginally significant",242
"63",1990,"marginally statistically significant",9
"64",1990,"moderately significant",3
"65",1990,"modestly significant",3
"66",1990,"near significance",16
"67",1990,"near to statistical significance",1
"68",1990,"near-significant",34
"69",1990,"nearly significant",71
"70",1990,"nominally significant",8
"71",1990,"not as significant",8
"72",1990,"not clearly significant",1
"73",1990,"not conventionally significant",3
"74",1990,"not fully significant",2
"75",1990,"not quite reach the level of significance",1
"76",1990,"not quite significant",20
"77",1990,"not yet significant",4
"78",1990,"on the borderline of significance",4
"79",1990,"only marginally significant",27
"80",1990,"partial significance",1
"81",1990,"partially significant",2
"82",1990,"partly significant",1
"83",1990,"possible significance",13
"84",1990,"possibly significant",4
"85",1990,"possibly statistically significant",2
"86",1990,"potentially significant",18
"87",1990,"practically significant",2
"88",1990,"probably not significant",10
"89",1990,"probably significant",6
"90",1990,"quite significant",32
"91",1990,"reached borderline significance",4
"92",1990,"scarcely significant",1
"93",1990,"significant tendency",45
"94",1990,"significantly significant",3
"95",1990,"slight significance",1
"96",1990,"slightly insignificant",1
"97",1990,"slightly significant",5
"98",1990,"tended to be significant",3
"99",1990,"tended toward significance",2
"100",1990,"tendency toward significance",1
"101",1990,"uncertain significance",7
"102",1990,"virtually significant",1
"103",1990,"weak significance",2
"104",1990,"weakly significant",2
"105",1993,"a clear trend",65
"106",1993,"a decreasing trend",27
"107",1993,"a definite trend",14
"108",1993,"a favorable trend",13
"109",1993,"a favourable statistical trend",1
"110",1993,"a little significant",1
"111",1993,"a marginal trend",3
"112",1993,"a marked trend",3
"113",1993,"a mild trend",4
"114",1993,"a near-significant trend",1
"115",1993,"a negative trend",6
"116",1993,"a nonsignificant trend",140
"117",1993,"a notable trend",1
"118",1993,"a numerical trend",2
"119",1993,"a positive trend",43
"120",1993,"a possible trend",11
"121",1993,"a pronounced trend",1
"122",1993,"a significant trend",63
"123",1993,"a slight trend",58
"124",1993,"a small trend",11
"125",1993,"a statistical trend",22
"126",1993,"a strong trend",56
"127",1993,"a strong trend toward significance",1
"128",1993,"a suggestive trend",1
"129",1993,"a weak trend",20
"130",1993,"all but significant",505
"131",1993,"almost achieved significance",2
"132",1993,"almost attained significance",1
"133",1993,"almost reached statistical significance",14
"134",1993,"almost significant",73
"135",1993,"almost statistically significant",7
"136",1993,"an apparent trend",7
"137",1993,"an encouraging trend",6
"138",1993,"an important trend",2
"139",1993,"an increasing trend",35
"140",1993,"an interesting trend",5
"141",1993,"an observed trend",2
"142",1993,"an obvious trend",1
"143",1993,"an overall trend",14
"144",1993,"an unfavorable trend",1
"145",1993,"approached conventional levels of significance",2
"146",1993,"approached significant",4
"147",1993,"approaches statistical significance",9
"148",1993,"approaching conventional significance levels",1
"149",1993,"approaching significance",30
"150",1993,"at the limit of significance",9
"151",1993,"barely missed statistical significance",1
"152",1993,"barely significant",13
"153",1993,"bordered on significant",1
"154",1993,"close to being significant",4
"155",1993,"close to the limit of significance",1
"156",1993,"closely not significant",1
"157",1993,"did not quite achieve significance",1
"158",1993,"did not quite reach conventional levels of statistical significance",2
