"","Phrase","Total trials"
"1","marginally significant",7735
"2","all but significant",7015
"3","a nonsignificant trend",3442
"4","failed to reach statistical significance",2578
"5","a strong trend",1700
"6","nearly significant",1391
"7","a clear trend",1372
"8","an increasing trend",1202
"9","only marginally significant",1149
"10","a significant trend",1124
"11","potentially significant",1104
"12","significant tendency",1064
"13","a positive trend",1055
"14","a decreasing trend",962
"15","marginal significance",887
"16","a slight trend",885
"17","almost significant",813
"18","a statistical trend",811
"19","approaching significance",796
"20","nominally significant",740
"21","quite significant",547
"22","near-significant",546
"23","an overall trend",445
"24","likely to be significant",425
"25","difference was apparent",409
"26","uncertain significance",383
"27","did not quite reach statistical significance",379
"28","a weak trend",343
"29","marginally statistically significant",314
"30","tended to be significant",293
"31","possible significance",286
"32","not quite significant",266
"33","a favorable trend",261
"34","just failed to reach statistical significance",252
"35","a negative trend",225
"36","almost reached statistical significance",219
"37","a possible trend",218
"38","fell short of significance",214
"39","not as significant",204
"40","a small trend",185
"41","a numerical trend",184
"42","slightly significant",182
"43","reached borderline significance",165
"44","near significance",156
"45","weakly significant",147
"46","moderately significant",146
"47","an apparent trend",145
"48","barely significant",135
"49","practically significant",135
"50","a definite trend",131
"51","an interesting trend",129
"52","almost statistically significant",126
"53","marginally nonsignificant",101
"54","possibly significant",100
"55","significantly significant",100
"56","a marginal trend",99
"57","close to being significant",87
"58","just short of significance",87
"59","fell just short of statistical significance",77
"60","an obvious trend",71
"61","tendency toward significance",66
"62","trending towards significance",66
"63","a marked trend",65
"64","a notable trend",64
"65","at the limit of significance",62
"66","probably not significant",62
"67","probably significant",62
"68","approaches statistical significance",61
"69","tended toward significance",59
"70","approached significant",58
"71","an important trend",54
"72","marginally insignificant",53
"73","modestly significant",53
"74","nearing significance",49
"75","fairly significant",47
"76","an observed trend",46
"77","fell just short of significance",45
"78","an encouraging trend",44
"79","not yet significant",44
"80","not very significant",42
"81","a borderline significant trend",40
"82","an unexpected trend",40
"83","a suggestive trend",37
"84","a mild trend",35
"85","a near-significant trend",34
