"","x","y","PANEL","group","shape","colour","size","fill","alpha","stroke"
"1",1989,0.00517491202649555,"1",-1,19,"black",1.5,NA,0.2,0.5
"2",1989,0.0983233285034154,"2",-1,19,"black",1.5,NA,0.2,0.5
"3",1989,1.7387704409025,"3",-1,19,"black",1.5,NA,0.2,0.5
"4",1989,0.0672738563444421,"4",-1,19,"black",1.5,NA,0.2,0.5
"5",1989,0.0258745601324777,"5",-1,19,"black",1.5,NA,0.2,0.5
"6",1989,0.155247360794866,"6",-1,19,"black",1.5,NA,0.2,0.5
"7",1989,0.113848064582902,"7",-1,19,"black",1.5,NA,0.2,0.5
"8",1989,0.517491202649555,"8",-1,19,"black",1.5,NA,0.2,0.5
"9",1989,0.0362243841854688,"9",-1,19,"black",1.5,NA,0.2,0.5
"10",1989,0.0983233285034154,"10",-1,19,"black",1.5,NA,0.2,0.5
"11",1992,0.00702345835089198,"1",-1,19,"black",1.5,NA,0.2,0.5
"12",1992,0.129933979491502,"2",-1,19,"black",1.5,NA,0.2,0.5
"13",1992,1.47843798286276,"3",-1,19,"black",1.5,NA,0.2,0.5
"14",1992,0.112375333614272,"4",-1,19,"black",1.5,NA,0.2,0.5
"15",1992,0.0280938334035679,"5",-1,19,"black",1.5,NA,0.2,0.5
"16",1992,0.0948166877370417,"6",-1,19,"black",1.5,NA,0.2,0.5
"17",1992,0.143980896193286,"7",-1,19,"black",1.5,NA,0.2,0.5
"18",1992,0.684787189211968,"8",-1,19,"black",1.5,NA,0.2,0.5
"19",1992,0.0421407501053519,"9",-1,19,"black",1.5,NA,0.2,0.5
"20",1992,0.0596993959825818,"10",-1,19,"black",1.5,NA,0.2,0.5
"21",1995,0.0211589833108519,"1",-1,19,"black",1.5,NA,0.2,0.5
"22",1995,0.108439789468116,"2",-1,19,"black",1.5,NA,0.2,0.5
"23",1995,1.33301594858367,"3",-1,19,"black",1.5,NA,0.2,0.5
"24",1995,0.108439789468116,"4",-1,19,"black",1.5,NA,0.2,0.5
"25",1995,0.0238038562247084,"5",-1,19,"black",1.5,NA,0.2,0.5
"26",1995,0.100505170726547,"6",-1,19,"black",1.5,NA,0.2,0.5
"27",1995,0.111084662381973,"7",-1,19,"black",1.5,NA,0.2,0.5
"28",1995,0.534264328599011,"8",-1,19,"black",1.5,NA,0.2,0.5
"29",1995,0.0423179666217038,"9",-1,19,"black",1.5,NA,0.2,0.5
"30",1995,0.0740564415879817,"10",-1,19,"black",1.5,NA,0.2,0.5
"31",1998,0.0194338278162855,"1",-1,19,"black",1.5,NA,0.2,0.5
"32",1998,0.148992679924856,"2",-1,19,"black",1.5,NA,0.2,0.5
"33",1998,1.30206646369113,"3",-1,19,"black",1.5,NA,0.2,0.5
"34",1998,0.142514737319427,"4",-1,19,"black",1.5,NA,0.2,0.5
"35",1998,0.017274513614476,"5",-1,19,"black",1.5,NA,0.2,0.5
"36",1998,0.0950098248796182,"6",-1,19,"black",1.5,NA,0.2,0.5
"37",1998,0.0863725680723802,"7",-1,19,"black",1.5,NA,0.2,0.5
"38",1998,0.580855520286757,"8",-1,19,"black",1.5,NA,0.2,0.5
"39",1998,0.0496642266416186,"9",-1,19,"black",1.5,NA,0.2,0.5
"40",1998,0.0583014834488566,"10",-1,19,"black",1.5,NA,0.2,0.5
"41",2001,0.0271931255778539,"1",-1,19,"black",1.5,NA,0.2,0.5
"42",2001,0.155907253313029,"2",-1,19,"black",1.5,NA,0.2,0.5
"43",2001,1.49199615670492,"3",-1,19,"black",1.5,NA,0.2,0.5
"44",2001,0.148655753158935,"4",-1,19,"black",1.5,NA,0.2,0.5
"45",2001,0.0145030003081888,"5",-1,19,"black",1.5,NA,0.2,0.5
"46",2001,0.0833922517720853,"6",-1,19,"black",1.5,NA,0.2,0.5
"47",2001,0.0852051268106089,"7",-1,19,"black",1.5,NA,0.2,0.5
"48",2001,0.520295136056272,"8",-1,19,"black",1.5,NA,0.2,0.5
"49",2001,0.0598248762712786,"9",-1,19,"black",1.5,NA,0.2,0.5
"50",2001,0.067076376425373,"10",-1,19,"black",1.5,NA,0.2,0.5
"51",2004,0.0359723482123307,"1",-1,19,"black",1.5,NA,0.2,0.5
"52",2004,0.157965529106322,"2",-1,19,"black",1.5,NA,0.2,0.5
"53",2004,1.3653852169289,"3",-1,19,"black",1.5,NA,0.2,0.5
"54",2004,0.162657574525321,"4",-1,19,"black",1.5,NA,0.2,0.5
"55",2004,0.00782007569833276,"5",-1,19,"black",1.5,NA,0.2,0.5
"56",2004,0.0703806812849948,"6",-1,19,"black",1.5,NA,0.2,0.5
"57",2004,0.0938409083799931,"7",-1,19,"black",1.5,NA,0.2,0.5
"58",2004,0.49422878413463,"8",-1,19,"black",1.5,NA,0.2,0.5
"59",2004,0.100096968938659,"9",-1,19,"black",1.5,NA,0.2,0.5
"60",2004,0.0563045450279959,"10",-1,19,"black",1.5,NA,0.2,0.5
"61",2007,0.0262115114791002,"1",-1,19,"black",1.5,NA,0.2,0.5
"62",2007,0.19118984843579,"2",-1,19,"black",1.5,NA,0.2,0.5
"63",2007,1.25198513653114,"3",-1,19,"black",1.5,NA,0.2,0.5
"64",2007,0.19118984843579,"4",-1,19,"black",1.5,NA,0.2,0.5
"65",2007,0.0107929753149236,"5",-1,19,"black",1.5,NA,0.2,0.5
"66",2007,0.0817182416701358,"6",-1,19,"black",1.5,NA,0.2,0.5
"67",2007,0.0755508272044652,"7",-1,19,"black",1.5,NA,0.2,0.5
"68",2007,0.46101423130888,"8",-1,19,"black",1.5,NA,0.2,0.5
"69",2007,0.114097167614907,"9",-1,19,"black",1.5,NA,0.2,0.5
"70",2007,0.0462556084925297,"10",-1,19,"black",1.5,NA,0.2,0.5
"71",2010,0.0413947599103925,"1",-1,19,"black",1.5,NA,0.2,0.5
"72",2010,0.227671179507159,"2",-1,19,"black",1.5,NA,0.2,0.5
"73",2010,1.10670108113373,"3",-1,19,"black",1.5,NA,0.2,0.5
"74",2010,0.217931235998831,"4",-1,19,"black",1.5,NA,0.2,0.5
"75",2010,0.00365247881562287,"5",-1,19,"black",1.5,NA,0.2,0.5
"76",2010,0.0474822246030973,"6",-1,19,"black",1.5,NA,0.2,0.5
"77",2010,0.0499172104801792,"7",-1,19,"black",1.5,NA,0.2,0.5
"78",2010,0.467517288399727,"8",-1,19,"black",1.5,NA,0.2,0.5
"79",2010,0.158274082010324,"9",-1,19,"black",1.5,NA,0.2,0.5
"80",2010,0.0413947599103925,"10",-1,19,"black",1.5,NA,0.2,0.5
"81",2013,0.0450788880540947,"1",-1,19,"black",1.5,NA,0.2,0.5
"82",2013,0.226550309194937,"2",-1,19,"black",1.5,NA,0.2,0.5
"83",2013,1.06571114835578,"3",-1,19,"black",1.5,NA,0.2,0.5
"84",2013,0.291278968964919,"4",-1,19,"black",1.5,NA,0.2,0.5
"85",2013,0.00577934462231983,"5",-1,19,"black",1.5,NA,0.2,0.5
"86",2013,0.0277408541871352,"6",-1,19,"black",1.5,NA,0.2,0.5
"87",2013,0.0485464948274866,"7",-1,19,"black",1.5,NA,0.2,0.5
"88",2013,0.331734381321158,"8",-1,19,"black",1.5,NA,0.2,0.5
"89",2013,0.208056406403514,"9",-1,19,"black",1.5,NA,0.2,0.5
"90",2013,0.0312084609605271,"10",-1,19,"black",1.5,NA,0.2,0.5
"91",2016,0.0426262803555533,"1",-1,19,"black",1.5,NA,0.2,0.5
"92",2016,0.234444541955543,"2",-1,19,"black",1.5,NA,0.2,0.5
"93",2016,0.990434161202563,"3",-1,19,"black",1.5,NA,0.2,0.5
"94",2016,0.372353096047039,"4",-1,19,"black",1.5,NA,0.2,0.5
"95",2016,0.00376114238431353,"5",-1,19,"black",1.5,NA,0.2,0.5
"96",2016,0.0388651379712398,"6",-1,19,"black",1.5,NA,0.2,0.5
