"","fill","y","ymin","ymax","x","PANEL","group","flipped_aes","xmin","xmax","colour","size","linetype","width","alpha"
"1","#999999",2.9595015576324,1.8415994365859,4.66941193720311,1,"1",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"2","#E69F00",65.8878504672897,62.0564110459404,69.5262877450235,2,"1",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"3","#56B4E9",31.1526479750779,27.6162987941646,34.9180623117387,3,"1",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"4","#999999",18,13.0773855529084,24.1844480708396,1,"2",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"5","#E69F00",63.5,56.3770725904938,70.0952326186603,2,"2",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"6","#56B4E9",18.5,13.5122301541169,24.7293245495275,3,"2",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"7","#999999",76.4900662251656,71.2182933084518,81.0735580623033,1,"3",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"8","#E69F00",18.2119205298013,14.1190430504651,23.133387762005,2,"3",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"9","#56B4E9",5.29801324503311,3.15961807140276,8.63072390508361,3,"3",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"10","#999999",1.94174757281553,0.791752243542422,4.38715047406221,1,"4",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"11","#E69F00",77.9935275080906,72.8744061801899,82.4013023099157,2,"4",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"12","#56B4E9",20.0647249190939,15.832691989912,25.0583097417362,3,"4",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"13","#999999",6.67976424361493,4.73622310275813,9.30124703143352,1,"5",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"14","#E69F00",88.0157170923379,84.7983966110532,90.6438677630352,2,"5",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"15","#56B4E9",5.30451866404715,3.59006414204024,7.72172576905574,3,"5",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"16","#999999",71.7110920034394,69.0102898308968,74.2665708450156,1,"6",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"17","#E69F00",27.3430782459157,24.817547947217,30.0202886647415,2,"6",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"18","#56B4E9",0.945829750644884,0.498193731358833,1.74039168612186,3,"6",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"19","#E69F00",95.2830188679245,88.8101029226325,98.2505428861821,2,"7",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"20","#56B4E9",4.71698113207547,1.74945711381786,11.1898970773675,3,"7",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"21","#999999",4,2.38096214343484,6.54943792810176,1,"8",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"22","#E69F00",91.25,87.9327443367094,93.7475861953943,2,"8",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"23","#56B4E9",4.75,2.9632359330468,7.44793694396546,3,"8",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"24","#999999",41.7910447761194,33.4305212933767,50.6292636439014,1,"9",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"25","#E69F00",41.044776119403,32.7270883854875,49.8836425316603,2,"9",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"26","#56B4E9",17.1641791044776,11.4083114324029,24.8546040657875,3,"9",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"27","#999999",6.01719197707736,3.85429174304315,9.19149946645008,1,"10",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"28","#E69F00",79.6561604584527,74.9680294278494,83.6768242105678,2,"10",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"29","#56B4E9",14.3266475644699,10.9122261842375,18.5477785838667,3,"10",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"30","#999999",2.23214285714286,0.824638988921316,5.42046910019991,1,"11",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"31","#E69F00",93.3035714285714,88.9795556032427,96.0710338170317,2,"11",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"32","#56B4E9",4.46428571428571,2.28448194061501,8.30041423318317,3,"11",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"33","#999999",3.31061343719572,2.33780411235248,4.64666307256889,1,"12",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"34","#E69F00",59.6884128529698,56.6085878763387,62.69486000238,2,"12",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"35","#56B4E9",37.0009737098345,34.0540026625428,40.0464213960928,3,"12",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"36","#999999",1.70940170940171,0.296633692610584,6.65203330113772,1,"13",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"37","#E69F00",94.017094017094,87.6224015643936,97.3531284779269,2,"13",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"38","#56B4E9",4.27350427350427,1.58386702062496,10.1800456845771,3,"13",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"39","#999999",12.6436781609195,9.4295797020235,16.7066551181451,1,"14",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"40","#E69F00",73.8505747126437,68.8408719735499,78.3233764899811,2,"14",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"41","#56B4E9",13.5057471264368,10.1844422405126,17.6554669207257,3,"14",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"42","#999999",8.81182490051165,7.54884163344163,10.2581557173897,1,"15",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"43","#E69F00",74.587833996589,72.4720978318132,76.5949150347912,2,"15",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"44","#56B4E9",16.6003411028994,14.9074949580977,18.4411264929967,3,"15",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"45","#999999",9.67741935483871,5.32293651868505,16.635189548589,1,"16",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"46","#E69F00",75.8064516129032,67.1356869159776,82.845049272989,2,"16",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"47","#56B4E9",14.5161290322581,9.06057803756137,22.2387281675875,3,"16",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"48","#999999",4.6875,1.91973567107303,10.3566376382348,1,"17",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"49","#E69F00",90.625,83.8611403186843,94.8458925048049,2,"17",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"50","#56B4E9",4.6875,1.91973567107303,10.3566376382348,3,"17",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"51","#999999",5.12820512820513,2.80057537968638,9.01057818812772,1,"18",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"52","#E69F00",83.7606837606838,78.2622703814637,88.119949685668,2,"18",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"53","#56B4E9",11.1111111111111,7.51880151663024,16.0249580759567,3,"18",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"54","#999999",3.1055900621118,1.95789511104996,4.84087834878144,1,"19",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"55","#E69F00",88.9751552795031,86.2367150458092,91.2366550079067,2,"19",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"56","#56B4E9",7.91925465838509,6.00649428548269,10.3494522728337,3,"19",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"57","#999999",52.5,45.9863241206197,58.9323293920668,1,"20",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"58","#E69F00",44.5833333333333,38.2270952360318,51.1158477694376,2,"20",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"59","#56B4E9",2.91666666666667,1.28398491275082,6.16880307647734,3,"20",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"60","#999999",2.28571428571429,0.734716794902304,6.12378819706304,1,"21",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"61","#E69F00",88,82.0253155061478,92.2477681606242,2,"21",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"62","#56B4E9",9.71428571428571,5.92942412072619,15.3391342848721,3,"21",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"63","#999999",7.56880733944954,5.34316738904395,10.5693224658405,1,"22",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"64","#E69F00",79.1284403669725,74.9463749089477,82.7865104097933,2,"22",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"65","#56B4E9",13.302752293578,10.3311418844696,16.9382144584788,3,"22",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"66","#999999",9.375,5.80656781114217,14.6349993397571,1,"23",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"67","#E69F00",81.25,74.8527149745838,86.3644359860647,2,"23",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"68","#56B4E9",9.375,5.80656781114217,14.6349993397571,3,"23",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"69","#999999",18.3006535947712,12.6981115944372,25.5371375362759,1,"24",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"70","#E69F00",47.0588235294118,39.0033291539383,55.2642718075789,2,"24",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"71","#56B4E9",34.640522875817,27.2579953078316,42.8076077213678,3,"24",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
"72","#999999",12.9032258064516,7.78427198248732,20.3989745273144,1,"25",1,FALSE,0.75,1.25,"gray40",0.5,1,0.5,NA
"73","#E69F00",78.2258064516129,69.7367249823636,84.9264995379334,2,"25",2,FALSE,1.75,2.25,"gray40",0.5,1,0.5,NA
"74","#56B4E9",8.87096774193548,4.73102239789664,15.672958763096,3,"25",3,FALSE,2.75,3.25,"gray40",0.5,1,0.5,NA
