"","phrase","group","K","N","prop","lower","upper","median"
"1","""a borderline significant trend""",">=0.05-0.15",10,11,0.909090909090909,0.571169192357361,0.99523612762774,"0.06 (0.056–0.071)"
"2","""a borderline significant trend""",">=0.15",1,11,0.0909090909090909,0.00476387237226036,0.428830807642639,NA
"3","""a certain trend toward significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.09 (0.09–0.09)"
"4","""a clear trend""","<0.05",6,62,0.0967741935483871,0.039957314928153,0.205398842661706,NA
"5","""a clear trend""",">=0.05-0.15",52,62,0.838709677419355,0.718727679514923,0.915869179257813,"0.06 (0.054–0.079)"
"6","""a clear trend""",">=0.15",4,62,0.0645161290322581,0.02086964183392,0.16496556554015,NA
"7","""a decreasing trend""","<0.05",31,91,0.340659340659341,0.246604472177718,0.44833394942021,NA
"8","""a decreasing trend""",">=0.05-0.15",52,91,0.571428571428571,0.463478453583687,0.673286225582844,"0.056 (0.024–0.08)"
"9","""a decreasing trend""",">=0.15",8,91,0.0879120879120879,0.0414591770261337,0.170712486550443,NA
"10","""a definite trend""",">=0.05-0.15",9,11,0.818181818181818,0.47754958678634,0.967861377120435,"0.07 (0.057–0.094)"
"11","""a definite trend""",">=0.15",2,11,0.181818181818182,0.0321386228795657,0.52245041321366,NA
"12","""a distinct trend toward significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.095 (0.095–0.095)"
"13","""a favorable trend""","<0.05",7,25,0.28,0.128723917741172,0.495990095369097,NA
"14","""a favorable trend""",">=0.05-0.15",10,25,0.4,0.218119209670305,0.611096975759981,"0.07 (0.045–0.114)"
"15","""a favorable trend""",">=0.15",8,25,0.32,0.157286805006523,0.535501717461194,NA
"16","""a marginal trend toward significance""",">=0.05-0.15",4,5,0.8,0.298791054072394,0.989470045640983,"0.053 (0.052–0.07)"
"17","""a marginal trend toward significance""",">=0.15",1,5,0.2,0.0105299543590166,0.701208945927607,NA
"18","""a marginal trend""","<0.05",2,37,0.0540540540540541,0.00941808842334889,0.195305539058993,NA
"19","""a marginal trend""",">=0.05-0.15",33,37,0.891891891891892,0.736417939581653,0.964791723235526,"0.075 (0.06–0.081)"
"20","""a marginal trend""",">=0.15",2,37,0.0540540540540541,0.00941808842334889,0.195305539058993,NA
"21","""a marked trend""","<0.05",1,6,0.166666666666667,0.00876229113212806,0.635177439262661,NA
"22","""a marked trend""",">=0.05-0.15",5,6,0.833333333333333,0.364822560737339,0.991237708867872,"0.053 (0.05–0.066)"
"23","""a mild trend""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.089 (0.07–0.094)"
"24","""a mild trend""",">=0.15",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"25","""a near-significant trend""",">=0.05-0.15",6,6,1,0.516817051213657,1,"0.058 (0.052–0.076)"
"26","""a negative trend""","<0.05",8,33,0.242424242424242,0.117432892852437,0.426305618124556,NA
"27","""a negative trend""",">=0.05-0.15",20,33,0.606060606060606,0.422384041365728,0.765720602410849,"0.061 (0.05–0.084)"
"28","""a negative trend""",">=0.15",5,33,0.151515151515152,0.0571587726818699,0.32668294262033,NA
"29","""a nonsignificant trend toward significance""",">=0.05-0.15",1,2,0.5,0.0945312057342307,0.905468794265769,"0.092 (0.088–0.096)"
"30","""a nonsignificant trend toward significance""",">=0.15",1,2,0.5,0.0945312057342307,0.905468794265769,NA
"31","""a nonsignificant trend""","<0.05",19,642,0.029595015576324,0.018415994365859,0.0466941193720311,NA
"32","""a nonsignificant trend""",">=0.05-0.15",423,642,0.658878504672897,0.620564110459404,0.695262877450235,"0.08 (0.063–0.1)"
"33","""a nonsignificant trend""",">=0.15",200,642,0.311526479750779,0.276162987941646,0.349180623117387,NA
"34","""a notable trend""",">=0.05-0.15",3,4,0.75,0.219426520065363,0.986808838176273,"0.07 (0.057–0.085)"
"35","""a notable trend""",">=0.15",1,4,0.25,0.0131911618237266,0.780573479934637,NA
"36","""a numerical trend""",">=0.05-0.15",10,20,0.5,0.299298008198212,0.700701991801788,"0.102 (0.073–0.181)"
"37","""a numerical trend""",">=0.15",10,20,0.5,0.299298008198212,0.700701991801788,NA
"38","""a positive trend""","<0.05",36,200,0.18,0.130773855529084,0.241844480708396,NA
"39","""a positive trend""",">=0.05-0.15",127,200,0.635,0.563770725904938,0.700952326186603,"0.07 (0.051–0.09)"
"40","""a positive trend""",">=0.15",37,200,0.185,0.135122301541169,0.247293245495275,NA
"41","""a possible trend""","<0.05",1,24,0.0416666666666667,0.00217885599640666,0.231162451544734,NA
"42","""a possible trend""",">=0.05-0.15",16,24,0.666666666666667,0.446925513846618,0.835734630929333,"0.09 (0.08–0.1)"
"43","""a possible trend""",">=0.15",7,24,0.291666666666667,0.134382357095063,0.512475707682451,NA
"44","""a pronounced trend""","<0.05",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"45","""a pronounced trend""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.059 (0.033–0.064)"
"46","""a reliable trend""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.05 (0.05–0.05)"
"47","""a robust trend toward significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.05 (0.05–0.05)"
"48","""a significant trend""","<0.05",231,302,0.764900662251656,0.712182933084518,0.810735580623033,NA
"49","""a significant trend""",">=0.05-0.15",55,302,0.182119205298013,0.141190430504651,0.23133387762005,"0.01 (0.002–0.044)"
"50","""a significant trend""",">=0.15",16,302,0.0529801324503311,0.0315961807140276,0.0863072390508361,NA
"51","""a slight trend toward significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.08 (0.08–0.08)"
"52","""a slight trend""","<0.05",8,69,0.115942028985507,0.0549337779853175,0.221106604047932,NA
"53","""a slight trend""",">=0.05-0.15",30,69,0.434782608695652,0.317682816877269,0.559175789499813,"0.09 (0.06–0.125)"
"54","""a slight trend""",">=0.15",31,69,0.449275362318841,0.330996646232251,0.57322567549819,NA
"55","""a small trend""",">=0.05-0.15",5,9,0.555555555555556,0.226529229889398,0.846569442491421,"0.098 (0.09–0.11)"
"56","""a small trend""",">=0.15",4,9,0.444444444444444,0.15343055750858,0.773470770110603,NA
"57","""a statistical trend toward significance""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.09 (0.077–0.105)"
"58","""a statistical trend toward significance""",">=0.15",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"59","""a statistical trend""","<0.05",6,309,0.0194174757281553,0.00791752243542422,0.0438715047406221,NA
"60","""a statistical trend""",">=0.05-0.15",241,309,0.779935275080906,0.728744061801899,0.824013023099157,"0.08 (0.061–0.092)"
"61","""a statistical trend""",">=0.15",62,309,0.200647249190939,0.15832691989912,0.250583097417362,NA
"62","""a strong trend toward significance""","<0.05",1,9,0.111111111111111,0.00582755740060351,0.493297984193994,NA
"63","""a strong trend toward significance""",">=0.05-0.15",8,9,0.888888888888889,0.506702015806006,0.994172442599396,"0.055 (0.052–0.061)"
"64","""a strong trend""","<0.05",34,509,0.0667976424361493,0.0473622310275813,0.0930124703143352,NA
"65","""a strong trend""",">=0.05-0.15",448,509,0.880157170923379,0.847983966110532,0.906438677630352,"0.06 (0.054–0.07)"
"66","""a strong trend""",">=0.15",27,509,0.0530451866404715,0.0359006414204023,0.0772172576905574,NA
"67","""a substantial trend toward significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.06 (0.06–0.06)"
"68","""a suggestive trend""","<0.05",1,9,0.111111111111111,0.00582755740060351,0.493297984193994,NA
"69","""a suggestive trend""",">=0.05-0.15",6,9,0.666666666666667,0.309176102304236,0.909581743480715,"0.06 (0.06–0.076)"
"70","""a suggestive trend""",">=0.15",2,9,0.222222222222222,0.039465381419035,0.598090653889401,NA
"71","""a trend that approached significance""",">=0.05-0.15",5,5,1,0.462943982532477,1,"0.06 (0.058–0.07)"
"72","""a very slight trend toward significance""",">=0.15",1,1,1,0.054620755528852,1,NA
"73","""a weak trend toward significance""",">=0.15",1,1,1,0.054620755528852,1,NA
"74","""a weak trend""","<0.05",7,79,0.0886075949367089,0.039386079685502,0.179577398024202,NA
